00,111XXX0010010010X11XX001100XX10000XXXXXX0
40,111XXX0010010010X11XX001101XX10000XXXXXX0
01,111XXX0010010010X11XX001000XX10000XXXXXX0
41,111XXX0010010010X11XX001001XX10000XXXXXX0
02,100XXX0010010010X11XX00XX00010X001XXXXXX0
42,100XXX0010010010X11XX00XX01010X001XXXXXX0
03,110XXX0010010010X10X000XX00XX11001XXXXXX0
43,110XXX0010010010X10X100XXXXXX11001XXXXXX0
04,000XXX0010110010X11XX00XXXXXX1X0010010XX0
05,000XXX0010110010X11XX00XXXXXX1X0010011XX0
06,000XXX0010110010X11XX00XXXXXX1X0010100XX0
07,000XXX0010110010X11XX00XXXXXX1X0010101XX0
08,000XXX0010110010X11XX00XXXXXX1X0010000XX0
09,000XXX0010110010X11XX00XXXXXX1X0010001XX0
0A,11110X0001010000X11XX000000XX10000XXXXXX0
4A,11110X0001010000X11XX000001XX10000XXXXXX0
0B,11110X0001010000X11XX000000XX10000XXXXXX0
4B,11110X0001010000X11XX000001XX10000XXXXXX0
0C,11110X0001010000X11XX000000XX10000XXXXXX0
4C,11110X0001010000X11XX000001XX10000XXXXXX0
0D,11110X0001010000X11XX000000XX10000XXXXXX0
4D,11110X0001010000X11XX000001XX10000XXXXXX0
10,00000X0000XX0100X11XXXXXX10XX1X101XXXX110
11,00000100100100X1011XXXXXXXXXX1X001XXXX000
51,00000100100100X1011XXXXXX00XX1X001XXXX010
91,00000000100100X1011XXXXXXXXXX1X001XXXX000
D1,00000000100100X1011XXXXXX00XX1X001XXXX010
12,00000100110100X1011XXXXXXXXXX1X001XXXX000
52,00000100110100X1011XXXXXX00XX1X001XXXX010
92,00000000110100X1011XXXXXXXXXX1X001XXXX000
D2,00000000110100X1011XXXXXX00XX1X001XXXX010
13,00000101000100X1011XXXXXXXXXX1X001XXXX000
53,00000101000100X1011XXXXXX00XX1X001XXXX010
93,00000001000100X1011XXXXXXXXXX1X001XXXX000
D3,00000001000100X1011XXXXXX00XX1X001XXXX010
14,00000101010100X1011XXXXXXXXXX1X001XXXX000
54,00000101010100X1011XXXXXX00XX1X001XXXX010
94,00000001010100X1011XXXXXXXXXX1X001XXXX000
D4,00000001010100X1011XXXXXX00XX1X001XXXX010
15,110XXX0010010010X010000XX00XX11001XXXXXX0
55,110XXX0010010010X010100XXXXXX11001XXXXXX0
16,110XXX0010010010X011000XX00XX11001XXXXXX0
56,110XXX0010010010X011100XXXXXX11001XXXXXX0
17,000XXX0010010010X11XX00XXXXXX1X001XXXXXX0
18,000XXX0011010010X11XX00XXXXXX1X001XXXXXX0
19,000XXX0100010010X11XX00XXXXXX1X001XXXXXX0
1A,000XXX0101010010X11XX00XXXXXX1X001XXXXXX0
1B,000XXX000101XX10X11XX00XXXXXX1X001XXXXXX0
1C,000XXX0010010010X11XX00XX00XX1X011XXXXXX0
1D,000XXX0010010010X11XX00XXXXXX1X001XXXXXX0
1E,100XXX0010010010X11XX00XXXX110X001XXXXXX0
1F,100XXX0010010010X11XX00XX00000X001XXXXXX0
5F,100XXX0010010010X11XX00XX01000X001XXXXXX0
20,000XX000100110X1011XX010011XX1X000XXXX111
21,0001001010010110X11XX00XXXXXX1X001XXXX000
22,000XXX0010010010X000000XX00XX11001XXXXXX0
62,000XXX0010010010X000100XXXXXX11001XXXXXX0
23,000XXX0010010010X001000XX00XX11001XXXXXX0
63,000XXX0010010010X001100XXXXXX11001XXXXXX0
24,000XX00000XX10X1111XX010011XX1X000XXXX111
25,111XXX0010010010X11XX000100XX10000XXXXXX0
65,111XXX0010010010X11XX000101XX10000XXXXXX0
26,111XXX0010010010X11XX000000XX10000XXXXXX0
66,111XXX0010010010X11XX000001XX10000XXXXXX0
27,0000011010010010X11XX00XXXXXX1X001XXXX00X
67,0000011010010010X11XX00XX00XX1X001XXXX010
A7,0000001010010010X11XX00XXXXXX1X001XXXX00X
E7,0000001010010010X11XX00XX00XX1X001XXXX010
28,0000011011010010X11XX00XXXXXX1X001XXXX00X
68,0000011011010010X11XX00XX00XX1X001XXXX010
A8,0000001011010010X11XX00XXXXXX1X001XXXX00X
E8,0000001011010010X11XX00XX00XX1X001XXXX010
29,0000011100010010X11XX00XXXXXX1X001XXXX00X
69,0000011100010010X11XX00XX00XX1X001XXXX010
A9,0000001100010010X11XX00XXXXXX1X001XXXX00X
E9,0000001100010010X11XX00XX00XX1X001XXXX010
2A,0000011101010010X11XX00XXXXXX1X001XXXX00X
6A,0000011101010010X11XX00XX00XX1X001XXXX010
AA,0000001101010010X11XX00XXXXXX1X001XXXX00X
EA,0000001101010010X11XX00XX00XX1X001XXXX010
2B,100XXX0010010010X11XX00XX00100X001XXXXXX0
6B,100XXX0010010010X11XX00XX01100X001XXXXXX0
